rowID,stamp,datetime,hum
339999,1497825541, 18/6/2017 22:33:361,64.4
340000,1497825542, 18/6/2017 22:33:362,64.3
341998,1497825543, 18/6/2017 22:33:363,64.3
342999,1497825544, 18/6/2017 22:33:364,64.3
344000,1497825545, 18/6/2017 22:33:365,64.3
344999,1497825546, 18/6/2017 22:33:366,64.2
345999,1497825547, 18/6/2017 22:33:367,64.2
346999,1497825548, 18/6/2017 22:33:368,64.2
347999,1497825549, 18/6/2017 22:33:369,64.2
348998,1497825550, 18/6/2017 22:33:370,64.2
349999,1497825551, 18/6/2017 22:33:371,64.2
350999,1497825552, 18/6/2017 22:33:372,64.2
352000,1497825553, 18/6/2017 22:33:373,64.2
353000,1497825554, 18/6/2017 22:33:374,64.1
353999,1497825555, 18/6/2017 22:33:375,64.1
355000,1497825556, 18/6/2017 22:33:376,64.1
355999,1497825557, 18/6/2017 22:33:377,64.1
356999,1497825558, 18/6/2017 22:33:378,64.1
357998,1497825559, 18/6/2017 22:33:379,64.1
358999,1497825560, 18/6/2017 22:33:380,64.1
360000,1497825561, 18/6/2017 22:33:381,64
360998,1497825562, 18/6/2017 22:33:382,64
362000,1497825563, 18/6/2017 22:33:383,64
362999,1497825564, 18/6/2017 22:33:384,64
363999,1497825565, 18/6/2017 22:33:385,64
364999,1497825566, 18/6/2017 22:33:386,64
365999,1497825567, 18/6/2017 22:33:387,63.9
366999,1497825568, 18/6/2017 22:33:388,63.9
367998,1497825569, 18/6/2017 22:33:389,64
368999,1497825570, 18/6/2017 22:33:390,64
369998,1497825571, 18/6/2017 22:33:391,64
370999,1497825572, 18/6/2017 22:33:392,64
371999,1497825573, 18/6/2017 22:33:393,64
372999,1497825574, 18/6/2017 22:33:394,64
373999,1497825575, 18/6/2017 22:33:395,64
375000,1497825576, 18/6/2017 22:33:396,64
375999,1497825577, 18/6/2017 22:33:397,64
376998,1497825578, 18/6/2017 22:33:398,64.1
377999,1497825579, 18/6/2017 22:33:399,64.1
378999,1497825580, 18/6/2017 22:33:400,64.2
379999,1497825581, 18/6/2017 22:33:401,64.2
380999,1497825582, 18/6/2017 22:33:402,64.2
381999,1497825583, 18/6/2017 22:33:403,64.2
382999,1497825584, 18/6/2017 22:33:404,64.2
383998,1497825585, 18/6/2017 22:33:405,64.2
384999,1497825586, 18/6/2017 22:33:406,64.2
385999,1497825587, 18/6/2017 22:33:407,64.2
386999,1497825588, 18/6/2017 22:33:408,64.2
387999,1497825589, 18/6/2017 22:33:409,64.2
388999,1497825590, 18/6/2017 22:33:410,64.2
389999,1497825591, 18/6/2017 22:33:411,64.2
390999,1497825592, 18/6/2017 22:33:412,64.2
392000,1497825593, 18/6/2017 22:33:413,64.2
392998,1497825594, 18/6/2017 22:33:414,64.2
394000,1497825595, 18/6/2017 22:33:415,64.1
394999,1497825596, 18/6/2017 22:33:416,64.1
396000,1497825597, 18/6/2017 22:33:417,64
396999,1497825598, 18/6/2017 22:33:418,64
398000,1497825599, 18/6/2017 22:33:419,64
398999,1497825600, 18/6/2017 22:33:420,64
400000,1497825601, 18/6/2017 22:33:421,64
401000,1497825602, 18/6/2017 22:33:422,64
401999,1497825603, 18/6/2017 22:33:423,64
402999,1497825605, 18/6/2017 22:33:424,64
403998,1497825605, 18/6/2017 22:33:425,63.8
404999,1497825607, 18/6/2017 22:33:426,63.8
405999,1497825608, 18/6/2017 22:33:427,63.7
406999,1497825609, 18/6/2017 22:33:428,63.7
407998,1497825610, 18/6/2017 22:33:429,63.7
408998,1497825611, 18/6/2017 22:33:430,63.7
410000,1497825612, 18/6/2017 22:33:431,63.7
410999,1497825613, 18/6/2017 22:33:432,63.7
411999,1497825614, 18/6/2017 22:33:433,63.7
412999,1497825615, 18/6/2017 22:33:434,63.7
413999,1497825616, 18/6/2017 22:33:435,63.7
415000,1497825617, 18/6/2017 22:33:436,63.8
415998,1497825618, 18/6/2017 22:33:437,63.8
417000,1497825619, 18/6/2017 22:33:438,63.6
417999,1497825620, 18/6/2017 22:33:439,63.6
419000,1497825621, 18/6/2017 22:33:440,63.6
419999,1497825622, 18/6/2017 22:33:441,63.7
420999,1497825623, 18/6/2017 22:33:442,63.7
421999,1497825624, 18/6/2017 22:33:443,63.5
422999,1497825625, 18/6/2017 22:33:444,63.5
424000,1497825626, 18/6/2017 22:33:445,63.5
424999,1497825627, 18/6/2017 22:33:446,63.5
425999,1497825628, 18/6/2017 22:33:447,63.5
426999,1497825629, 18/6/2017 22:33:448,63.5
427999,1497825630, 18/6/2017 22:33:449,63.5
428998,1497825631, 18/6/2017 22:33:450,63.5
429999,1497825632, 18/6/2017 22:33:451,63.5
430999,1497825633, 18/6/2017 22:33:452,63.5
432000,1497825634, 18/6/2017 22:33:453,63.6
432999,1497825635, 18/6/2017 22:33:454,63.6
433998,1497825636, 18/6/2017 22:33:455,63.6
434999,1497825637, 18/6/2017 22:33:456,63.6
435998,1497825638, 18/6/2017 22:33:457,63.7
436999,1497825639, 18/6/2017 22:33:458,63.7
437998,1497825640, 18/6/2017 22:33:459,63.7
438999,1497825641, 18/6/2017 22:33:460,63.6
439999,1497825642, 18/6/2017 22:33:461,63.6
440999,1497825643, 18/6/2017 22:33:462,63.6
441999,1497825644, 18/6/2017 22:33:463,63.6
442999,1497825645, 18/6/2017 22:33:464,63.7
444000,1497825646, 18/6/2017 22:33:465,63.7
444998,1497825647, 18/6/2017 22:33:466,63.7
446000,1497825648, 18/6/2017 22:33:467,63.7
446999,1497825649, 18/6/2017 22:33:468,63.7
447998,1497825650, 18/6/2017 22:33:469,63.7
448999,1497825651, 18/6/2017 22:33:470,63.7
449999,1497825652, 18/6/2017 22:33:471,63.7
450999,1497825653, 18/6/2017 22:33:472,63.7
451998,1497825654, 18/6/2017 22:33:473,63.7
452999,1497825655, 18/6/2017 22:33:474,63.7
453999,1497825656, 18/6/2017 22:33:475,63.7
454999,1497825657, 18/6/2017 22:33:476,63.9
455999,1497825658, 18/6/2017 22:33:477,63.9
456998,1497825659, 18/6/2017 22:33:478,63.8
457999,1497825660, 18/6/2017 22:33:479,63.8
458999,1497825661, 18/6/2017 22:33:480,63.8
